Unnamed: 0,parameter,Date,units_of_measure,first_max_value,aqi,state,COUNTY,attr_IncidentName,poly_Acres_AutoCalc,attr_FireCauseGeneral,attr_FireDiscoveryDateTime,attr_FireOutDateTime,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseDateTime,attr_POOState,attr_PredominantFuelGroup,Time,FireDuration
72226,Acceptable PM2.5 AQI & Speciation Mass,09/17/2021,Micrograms/cubic meter (LC),8.9,37,California,Riverside,WASH,0.0106045269421195,Equipment,2021-09-17 21:59:59+00:00,2021-09-18 00:00:00+00:00,33.6844,-116.0354,2021/09/17 22:05:00+00,US-CA,Grass,21:59:59+00,0 days 02:00:01
6582,Acceptable PM2.5 AQI & Speciation Mass,01/17/2021,Micrograms/cubic meter (LC),10.7,45,California,Los Angeles,PACIFICO,2.88370496337263,Equipment,2021-01-17 11:33:56+00:00,,34.05896,-118.65039,,US-CA,Timber,11:33:56+00,
52828,Acceptable PM2.5 AQI & Speciation Mass,09/17/2021,Micrograms/cubic meter (LC),14.5,56,California,Riverside,WASH,0.0106045269421195,Equipment,2021-09-17 21:59:59+00:00,2021-09-18 00:00:00+00:00,33.6844,-116.0354,2021/09/17 22:05:00+00,US-CA,Grass,21:59:59+00,0 days 02:00:01
53966,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),2.0,8,California,Los Angeles,LAC-017745,0.370710262557673,Undetermined,2021-01-15 11:34:19+00:00,,34.03932,-118.58952,,US-CA,Brush,11:34:19+00,
51261,Acceptable PM2.5 AQI & Speciation Mass,09/24/2021,Micrograms/cubic meter (LC),7.4,31,California,Riverside,PIGEON,0.0831661707810901,,2021-09-24 19:41:24+00:00,2021-09-25 21:00:00+00:00,33.5597,-116.4421,2021/09/24 19:44:59+00,US-CA,Brush,19:41:24+00,1 days 01:18:36
52842,Acceptable PM2.5 AQI & Speciation Mass,09/24/2021,Micrograms/cubic meter (LC),15.0,57,California,Riverside,PIGEON,0.0831661707810901,,2021-09-24 19:41:24+00:00,2021-09-25 21:00:00+00:00,33.5597,-116.4421,2021/09/24 19:44:59+00,US-CA,Brush,19:41:24+00,1 days 01:18:36
37484,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),9.7,40,California,Los Angeles,LAC-017549,0.111876720379311,Undetermined,2021-01-15 05:39:05+00:00,,34.01924,-118.81069,2021/01/15 05:42:59+00,US-CA,Grass,05:39:05+00,
6578,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),14.2,55,California,Los Angeles,CORRAL,0.904092745054236,Undetermined,2021-01-15 05:50:30+00:00,2021-01-15 07:30:00+00:00,34.03296,-118.74289,,US-CA,Grass,05:50:30+00,0 days 01:39:30
6578,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),14.2,55,California,Los Angeles,LAC-017745,0.370710262557673,Undetermined,2021-01-15 11:34:19+00:00,,34.03932,-118.58952,,US-CA,Brush,11:34:19+00,
6578,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),14.2,55,California,Los Angeles,LAC-017549,0.111876720379311,Undetermined,2021-01-15 05:39:05+00:00,,34.01924,-118.81069,2021/01/15 05:42:59+00,US-CA,Grass,05:39:05+00,
72258,Acceptable PM2.5 AQI & Speciation Mass,10/03/2021,Micrograms/cubic meter (LC),5.5,23,California,Riverside,IND167,0.0099695892622006,,2021-10-03 14:56:12+00:00,2021-10-03 15:59:59+00:00,33.790528,-116.268235,2021/10/03 15:00:00+00,US-CA,Grass-Shrub,14:56:12+00,0 days 01:03:47
52860,Acceptable PM2.5 AQI & Speciation Mass,10/03/2021,Micrograms/cubic meter (LC),8.8,37,California,Riverside,IND167,0.0099695892622006,,2021-10-03 14:56:12+00:00,2021-10-03 15:59:59+00:00,33.790528,-116.268235,2021/10/03 15:00:00+00,US-CA,Grass-Shrub,14:56:12+00,0 days 01:03:47
51279,Acceptable PM2.5 AQI & Speciation Mass,10/03/2021,Micrograms/cubic meter (LC),2.8,12,California,Riverside,IND167,0.0099695892622006,,2021-10-03 14:56:12+00:00,2021-10-03 15:59:59+00:00,33.790528,-116.268235,2021/10/03 15:00:00+00,US-CA,Grass-Shrub,14:56:12+00,0 days 01:03:47
72244,Acceptable PM2.5 AQI & Speciation Mass,09/26/2021,Micrograms/cubic meter (LC),8.0,33,California,Riverside,TAMARISK,0.119466473509628,,2021-09-26 12:30:35+00:00,2021-09-26 15:30:00+00:00,33.793284,-116.276771,,US-CA,Grass-Shrub,12:30:35+00,0 days 02:59:25
52846,Acceptable PM2.5 AQI & Speciation Mass,09/26/2021,Micrograms/cubic meter (LC),18.6,65,California,Riverside,TAMARISK,0.119466473509628,,2021-09-26 12:30:35+00:00,2021-09-26 15:30:00+00:00,33.793284,-116.276771,,US-CA,Grass-Shrub,12:30:35+00,0 days 02:59:25
51265,Acceptable PM2.5 AQI & Speciation Mass,09/26/2021,Micrograms/cubic meter (LC),10.1,42,California,Riverside,TAMARISK,0.119466473509628,,2021-09-26 12:30:35+00:00,2021-09-26 15:30:00+00:00,33.793284,-116.276771,,US-CA,Grass-Shrub,12:30:35+00,0 days 02:59:25
72240,Acceptable PM2.5 AQI & Speciation Mass,09/24/2021,Micrograms/cubic meter (LC),8.4,35,California,Riverside,PIGEON,0.0831661707810901,,2021-09-24 19:41:24+00:00,2021-09-25 21:00:00+00:00,33.5597,-116.4421,2021/09/24 19:44:59+00,US-CA,Brush,19:41:24+00,1 days 01:18:36
35329,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),23.9,76,California,Los Angeles,CORRAL,0.904092745054236,Undetermined,2021-01-15 05:50:30+00:00,2021-01-15 07:30:00+00:00,34.03296,-118.74289,,US-CA,Grass,05:50:30+00,0 days 01:39:30
35329,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),23.9,76,California,Los Angeles,LAC-017745,0.370710262557673,Undetermined,2021-01-15 11:34:19+00:00,,34.03932,-118.58952,,US-CA,Brush,11:34:19+00,
35329,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),23.9,76,California,Los Angeles,LAC-017549,0.111876720379311,Undetermined,2021-01-15 05:39:05+00:00,,34.01924,-118.81069,2021/01/15 05:42:59+00,US-CA,Grass,05:39:05+00,
37484,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),9.7,40,California,Los Angeles,CORRAL,0.904092745054236,Undetermined,2021-01-15 05:50:30+00:00,2021-01-15 07:30:00+00:00,34.03296,-118.74289,,US-CA,Grass,05:50:30+00,0 days 01:39:30
37484,Acceptable PM2.5 AQI & Speciation Mass,01/15/2021,Micrograms/cubic meter (LC),9.7,40,California,Los Angeles,LAC-017745,0.370710262557673,Undetermined,2021-01-15 11:34:19+00:00,,34.03932,-118.58952,,US-CA,Brush,11:34:19+00,
53056,Acceptable PM2.5 AQI & Speciation Mass,01/09/2021,Micrograms/cubic meter (LC),4.8,20,California,Los Angeles,COASTLINE,0.101485171576779,Undetermined,2021-01-09 10:55:50+00:00,,34.04047,-118.57584,,US-CA,Grass-Shrub,10:55:50+00,
54237,Acceptable PM2.5 AQI & Speciation Mass,05/02/2021,Micrograms/cubic meter (LC),11.6,48,California,Los Angeles,STONEY,2.80648952371677,Other Human Cause,2021-05-02 23:27:20+00:00,2021-05-06 01:24:00+00:00,34.2853,-118.2215,2021/05/02 23:28:00+00,US-CA,Grass-Shrub,23:27:20+00,3 days 01:56:40
39950,Acceptable PM2.5 AQI & Speciation Mass,08/02/2021,Micrograms/cubic meter (LC),3.8,16,California,San Bernardino,WILDWOOD,,Undetermined,2021-08-02 11:59:17+00:00,,34.17598,-117.2779,,US-CA,,11:59:17+00,
47238,Acceptable PM2.5 AQI & Speciation Mass,09/05/2022,Micrograms/cubic meter (LC),14.6,56,California,San Bernardino,RADFORD ,1079.2751316093,,2022-09-05 20:29:59+00:00,2022-12-12 16:30:00+00:00,34.20367,-116.8745,2022/09/09 20:40:00+00,US-CA,Timber,20:29:59+00,97 days 20:00:01
52562,Acceptable PM2.5 AQI & Speciation Mass,08/02/2020,Micrograms/cubic meter (LC),12.3,51,California,Riverside,WATER,76.035459286898,,2020-08-02 20:29:05+00:00,2020-08-05 00:59:59+00:00,33.925653,-116.64177,2020/08/02 20:32:59+00,US-CA,Grass-Shrub,20:29:05+00,2 days 04:30:54
73706,Acceptable PM2.5 AQI & Speciation Mass,08/02/2020,Micrograms/cubic meter (LC),9.9,41,California,Riverside,WATER,76.035459286898,,2020-08-02 20:29:05+00:00,2020-08-05 00:59:59+00:00,33.925653,-116.64177,2020/08/02 20:32:59+00,US-CA,Grass-Shrub,20:29:05+00,2 days 04:30:54
51136,Acceptable PM2.5 AQI & Speciation Mass,08/03/2020,Micrograms/cubic meter (LC),5.6,23,California,Riverside,JUNIPER,22.1818997212269,,2020-08-03 00:40:13+00:00,2020-08-04 00:59:59+00:00,33.772112,-117.136524,2020/08/03 00:42:00+00,US-CA,Grass-Shrub,00:40:13+00,1 days 00:19:46
52564,Acceptable PM2.5 AQI & Speciation Mass,08/03/2020,Micrograms/cubic meter (LC),11.5,48,California,Riverside,JUNIPER,22.1818997212269,,2020-08-03 00:40:13+00:00,2020-08-04 00:59:59+00:00,33.772112,-117.136524,2020/08/03 00:42:00+00,US-CA,Grass-Shrub,00:40:13+00,1 days 00:19:46
7596,Acceptable PM2.5 AQI & Speciation Mass,06/24/2022,Micrograms/cubic meter (LC),21.3,70,California,San Diego,BORDER 18,2.84914843504856,,2022-06-24 03:02:23+00:00,,32.566722,-116.747255,,US-CA,,03:02:23+00,
73708,Acceptable PM2.5 AQI & Speciation Mass,08/03/2020,Micrograms/cubic meter (LC),11.6,48,California,Riverside,JUNIPER,22.1818997212269,,2020-08-03 00:40:13+00:00,2020-08-04 00:59:59+00:00,33.772112,-117.136524,2020/08/03 00:42:00+00,US-CA,Grass-Shrub,00:40:13+00,1 days 00:19:46
51134,Acceptable PM2.5 AQI & Speciation Mass,08/02/2020,Micrograms/cubic meter (LC),7.6,32,California,Riverside,WATER,76.035459286898,,2020-08-02 20:29:05+00:00,2020-08-05 00:59:59+00:00,33.925653,-116.64177,2020/08/02 20:32:59+00,US-CA,Grass-Shrub,20:29:05+00,2 days 04:30:54
7596,Acceptable PM2.5 AQI & Speciation Mass,06/24/2022,Micrograms/cubic meter (LC),21.3,70,California,San Diego,BORDER 19,16.9695140662554,,2022-06-24 19:44:59+00:00,2022-06-28 18:50:26+00:00,32.577083,-116.806666,2022/06/24 20:05:00+00,US-CA,Grass,19:44:59+00,3 days 23:05:27
52588,Acceptable PM2.5 AQI & Speciation Mass,08/15/2020,Micrograms/cubic meter (LC),14.9,57,California,Riverside,RALPH ,9.39035021774642,,2020-08-15 23:26:00+00:00,2020-08-26 17:50:00+00:00,33.68238,-116.7852,2020/08/15 23:26:00+00,US-CA,Brush,23:26:00+00,10 days 18:24:00
26685,Acceptable PM2.5 AQI & Speciation Mass,06/22/2022,Micrograms/cubic meter (LC),17.3,62,California,San Diego,RIBBON 2,0.0477619593146081,,2022-06-22 23:32:59+00:00,,,,,US-CA,,23:32:59+00,
14642,Acceptable PM2.5 AQI & Speciation Mass,06/22/2022,Micrograms/cubic meter (LC),12.8,52,California,San Diego,RIBBON 2,0.0477619593146081,,2022-06-22 23:32:59+00:00,,,,,US-CA,,23:32:59+00,
14149,Acceptable PM2.5 AQI & Speciation Mass,06/22/2022,Micrograms/cubic meter (LC),9.3,39,California,San Diego,RIBBON 2,0.0477619593146081,,2022-06-22 23:32:59+00:00,,,,,US-CA,,23:32:59+00,
73732,Acceptable PM2.5 AQI & Speciation Mass,08/15/2020,Micrograms/cubic meter (LC),15.5,58,California,Riverside,RALPH ,9.39035021774642,,2020-08-15 23:26:00+00:00,2020-08-26 17:50:00+00:00,33.68238,-116.7852,2020/08/15 23:26:00+00,US-CA,Brush,23:26:00+00,10 days 18:24:00
51172,Acceptable PM2.5 AQI & Speciation Mass,08/21/2020,Micrograms/cubic meter (LC),14.9,57,California,Riverside,MONROE,0.120664180581631,Investigated but Undetermined,2020-08-21 23:34:04+00:00,,33.743928,-116.251482,,US-CA,,23:34:04+00,
51160,Acceptable PM2.5 AQI & Speciation Mass,08/15/2020,Micrograms/cubic meter (LC),9.1,38,California,Riverside,RALPH ,9.39035021774642,,2020-08-15 23:26:00+00:00,2020-08-26 17:50:00+00:00,33.68238,-116.7852,2020/08/15 23:26:00+00,US-CA,Brush,23:26:00+00,10 days 18:24:00
14153,Acceptable PM2.5 AQI & Speciation Mass,06/24/2022,Micrograms/cubic meter (LC),4.7,20,California,San Diego,BORDER 19,16.9695140662554,,2022-06-24 19:44:59+00:00,2022-06-28 18:50:26+00:00,32.577083,-116.806666,2022/06/24 20:05:00+00,US-CA,Grass,19:44:59+00,3 days 23:05:27
73690,Acceptable PM2.5 AQI & Speciation Mass,07/25/2020,Micrograms/cubic meter (LC),7.6,32,California,Riverside,TRAM,212.399691140595,,2020-07-25 13:38:00+00:00,2020-07-30 18:59:59+00:00,33.85427,-116.5748,2020/07/25 14:00:00+00,US-CA,Brush,13:38:00+00,5 days 05:21:59
